"ORGÃO SUPERIOR DESTINATÁRIO";"ÓRGÃO DESTINATÁRIO";"FORNECEDOR";"CNPJ DO FORNECEDOR";"MUNICÍPIO DO FORNECEDOR";"CHAVE DA NF-E";"VALOR DA NOTA (R$)";"DATA DA EMISSÃO";"NÚMERO";"SÉRIE";
"Ministério dos Transportes";"Departamento Nacional de Infraestrutura de Transportes";"SANTIAGO E CINTRA IMPORTACAO E EXPORTACAO LTDA";"51.536.795/0006-00";"RIBEIRAO PRETO";"35240751536795000600550010000366191416890443";"24.957,14";"26/07/2024";"36619";"1";
"Ministério dos Transportes";"Departamento Nacional de Infraestrutura de Transportes";"SANTIAGO E CINTRA IMPORTACAO E EXPORTACAO LTDA";"51.536.795/0006-00";"RIBEIRAO PRETO";"35240751536795000600550010000366181420494924";"24.957,14";"26/07/2024";"36618";"1";
"Ministério dos Transportes";"Departamento Nacional de Infraestrutura de Transportes";"SANTIAGO E CINTRA IMPORTACAO E EXPORTACAO LTDA";"51.536.795/0006-00";"RIBEIRAO PRETO";"35240751536795000600550010000366201436387764";"24.957,14";"26/07/2024";"36620";"1";
"Ministério dos Transportes";"Departamento Nacional de Infraestrutura de Transportes";"SANTIAGO E CINTRA IMPORTACAO E EXPORTACAO LTDA";"51.536.795/0006-00";"RIBEIRAO PRETO";"35240751536795000600550010000366211441302965";"24.957,14";"26/07/2024";"36621";"1";
"Ministério dos Transportes";"Departamento Nacional de Infraestrutura de Transportes";"SANTIAGO E CINTRA IMPORTACAO E EXPORTACAO LTDA";"51.536.795/0006-00";"RIBEIRAO PRETO";"35240751536795000600550010000366331425080660";"24.957,14";"26/07/2024";"36633";"1";
"Ministério dos Transportes";"Departamento Nacional de Infraestrutura de Transportes";"SANTIAGO E CINTRA IMPORTACAO E EXPORTACAO LTDA";"51.536.795/0006-00";"RIBEIRAO PRETO";"35240751536795000600550010000366151429669962";"24.957,14";"26/07/2024";"36615";"1";
"Ministério dos Transportes";"Departamento Nacional de Infraestrutura de Transportes";"SANTIAGO E CINTRA IMPORTACAO E EXPORTACAO LTDA";"51.536.795/0006-00";"RIBEIRAO PRETO";"35240751536795000600550010000366361436385982";"24.957,14";"29/07/2024";"36636";"1";
"Ministério dos Transportes";"Departamento Nacional de Infraestrutura de Transportes";"SANTIAGO E CINTRA IMPORTACAO E EXPORTACAO LTDA";"51.536.795/0006-00";"RIBEIRAO PRETO";"35240751536795000600550010000366381439007428";"24.957,15";"29/07/2024";"36638";"1";
"Ministério dos Transportes";"Departamento Nacional de Infraestrutura de Transportes";"SANTIAGO E CINTRA IMPORTACAO E EXPORTACAO LTDA";"51.536.795/0006-00";"RIBEIRAO PRETO";"35240751536795000600550010000366171412302925";"24.957,15";"26/07/2024";"36617";"1";
"Ministério dos Transportes";"Departamento Nacional de Infraestrutura de Transportes";"SANTIAGO E CINTRA IMPORTACAO E EXPORTACAO LTDA";"51.536.795/0006-00";"RIBEIRAO PRETO";"35240751536795000600550010000366161426229322";"24.957,15";"26/07/2024";"36616";"1";
"Ministério dos Transportes";"Departamento Nacional de Infraestrutura de Transportes";"SANTIAGO E CINTRA IMPORTACAO E EXPORTACAO LTDA";"51.536.795/0006-00";"RIBEIRAO PRETO";"35240751536795000600550010000366371441301187";"24.957,15";"29/07/2024";"36637";"1";
"Ministério da Justiça e Segurança Pública";"Polícia Federal";"LINKWEB COMERCIO E SERVICOS DE TECNOLOGIA LTDA.";"30.856.148/0001-93";"BRASILIA";"53220530856148000193550010000003701584337580";"25.134,81";"16/05/2022";"370";"1";
"Ministério da Educação";"Instituto Federal do Maranhão";"GO VENDAS ELETRONICAS LTDA";"36.521.392/0001-81";"SERRA";"42221036521392000181550010000022371908865378";"25.224,08";"28/10/2022";"2237";"1";
"Ministério da Educação";"Universidade Federal de Viçosa";"FUNDACAO FACEV";"02.414.568/0001-84";"VICOSA";"31240602414568000184550010000004321460599555";"25.246,00";"07/06/2024";"432";"1";
