"ORGÃO SUPERIOR DESTINATÁRIO";"ÓRGÃO DESTINATÁRIO";"FORNECEDOR";"CNPJ DO FORNECEDOR";"MUNICÍPIO DO FORNECEDOR";"CHAVE DA NF-E";"VALOR DA NOTA (R$)";"DATA DA EMISSÃO";"NÚMERO";"SÉRIE";
"Ministério da Defesa";"Comando do Exército";"G2B COMERCIO E REPRESENTACOES LTDA";"36.668.854/0001-98";"CACHOEIRO DE ITAPEMIRIM";"32221036668854000198550010000006991062276727";"0,00";"04/10/2022";"699";"1";
"Ministério da Defesa";"Comando do Exército";"G2B COMERCIO E REPRESENTACOES LTDA";"36.668.854/0001-98";"CACHOEIRO DE ITAPEMIRIM";"32221036668854000198550010000007151062276722";"0,00";"20/10/2022";"715";"1";
"Ministério da Defesa";"Comando do Exército";"43.084.056 LIZANDRA RIBEIRO PINTO";"43.084.056/0001-84";"SALVADOR";"29241013937073000156558900610919241491981444";"0,00";"31/10/2024";"61091924";"890";
"Ministério da Justiça e Segurança Pública";"Polícia Federal";"DEAL4B SOLUÇÕES EM TECNOLOGIA LTDA";"18.355.397/0001-08";"JAGUARIÚNA";"35240818355397000108550020003081241862548211";"1,42";"13/08/2024";"308124";"2";
"Ministério da Educação";"Universidade Federal do Paraná";"EMGESA EMPRESA DE GERENCIAMENTO DE SOBRESSALENTES E AUTOMACA";"32.005.178/0001-11";"SAO PAULO";"35241032005178000111550010000011611934938136";"10,00";"03/10/2024";"1161";"1";
"Ministério do Meio Ambiente e Mudança do Clima";"Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis";"DEAL4B SOLUÇÕES EM TECNOLOGIA LTDA";"18.355.397/0001-08";"JAGUARIÚNA";"35241118355397000108550020003353141185423993";"20,32";"21/11/2024";"335314";"2";
"Ministério do Meio Ambiente e Mudança do Clima";"Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis";"DEAL4B SOLUÇÕES EM TECNOLOGIA LTDA";"18.355.397/0001-08";"JAGUARIÚNA";"35241218355397000108550020003427101158137264";"20,52";"19/12/2024";"342710";"2";
"Ministério do Meio Ambiente e Mudança do Clima";"Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis";"DEAL4B SOLUÇÕES EM TECNOLOGIA LTDA";"18.355.397/0001-08";"JAGUARIÚNA";"35241218355397000108550020003432241809114057";"20,52";"20/12/2024";"343224";"2";
"Ministério da Justiça e Segurança Pública";"Polícia Federal";"DEAL4B SOLUÇÕES EM TECNOLOGIA LTDA";"18.355.397/0001-08";"JAGUARIÚNA";"35240418355397000108550020002806931967853960";"20,87";"30/04/2024";"280693";"2";
"Ministério do Meio Ambiente e Mudança do Clima";"Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis";"DEAL4B SOLUÇÕES EM TECNOLOGIA LTDA";"18.355.397/0001-08";"JAGUARIÚNA";"35240918355397000108550020003158121170448989";"21,35";"10/09/2024";"315812";"2";
"Ministério da Justiça e Segurança Pública";"Polícia Federal";"DEAL4B SOLUÇÕES EM TECNOLOGIA LTDA";"18.355.397/0001-08";"JAGUARIÚNA";"35221018355397000108550020001633561809114057";"25,64";"11/10/2022";"163356";"2";
"Ministério da Educação";"Instituto Federal do Espírito Santo";"DEAL4B SOLUÇÕES EM TECNOLOGIA LTDA";"18.355.397/0001-08";"JAGUARIÚNA";"35220318355397000108550020001190881174547282";"25,73";"09/03/2022";"119088";"2";
"Ministério da Educação";"Universidade Federal do Ceará";"EXITO DISTRIBUIDORA E COMERCIO DE LIVROS LTDA";"08.065.700/0001-76";"SAO PAULO";"35240508065700000176550010000312591485841880";"28,24";"15/05/2024";"31259";"1";
"Ministério da Justiça e Segurança Pública";"Polícia Federal";"DEAL4B SOLUÇÕES EM TECNOLOGIA LTDA";"18.355.397/0001-08";"JAGUARIÚNA";"35230818355397000108550020002231011173112285";"36,29";"04/08/2023";"223101";"2";
"Ministério do Meio Ambiente e Mudança do Clima";"Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis";"DEAL4B SOLUÇÕES EM TECNOLOGIA LTDA";"18.355.397/0001-08";"JAGUARIÚNA";"35230818355397000108550020002238771192738433";"36,29";"08/08/2023";"223877";"2";
"Sem informação";"Sem informação";"DEAL4B SOLUÇÕES EM TECNOLOGIA LTDA";"18.355.397/0001-08";"JAGUARIÚNA";"35230818355397000108550020002265111170524894";"36,29";"21/08/2023";"226511";"2";
"Ministério do Meio Ambiente e Mudança do Clima";"Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis";"DEAL4B SOLUÇÕES EM TECNOLOGIA LTDA";"18.355.397/0001-08";"JAGUARIÚNA";"35230818355397000108550020002286041421951267";"36,29";"30/08/2023";"228604";"2";
"Ministério do Meio Ambiente e Mudança do Clima";"Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis";"DEAL4B SOLUÇÕES EM TECNOLOGIA LTDA";"18.355.397/0001-08";"JAGUARIÚNA";"35230618355397000108550020002139671145652488";"36,29";"21/06/2023";"213967";"2";
"Ministério do Meio Ambiente e Mudança do Clima";"Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis";"DEAL4B SOLUÇÕES EM TECNOLOGIA LTDA";"18.355.397/0001-08";"JAGUARIÚNA";"35230918355397000108550020002298581157065229";"36,29";"06/09/2023";"229858";"2";
"Ministério do Meio Ambiente e Mudança do Clima";"Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis";"DEAL4B SOLUÇÕES EM TECNOLOGIA LTDA";"18.355.397/0001-08";"JAGUARIÚNA";"35230918355397000108550020002338251617577401";"36,29";"27/09/2023";"233825";"2";
"Ministério do Meio Ambiente e Mudança do Clima";"Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis";"DEAL4B SOLUÇÕES EM TECNOLOGIA LTDA";"18.355.397/0001-08";"JAGUARIÚNA";"35230918355397000108550020002308911123000075";"36,29";"14/09/2023";"230891";"2";
"Ministério do Meio Ambiente e Mudança do Clima";"Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis";"DEAL4B SOLUÇÕES EM TECNOLOGIA LTDA";"18.355.397/0001-08";"JAGUARIÚNA";"35231018355397000108550020002403131202732982";"36,29";"31/10/2023";"240313";"2";
"Ministério do Meio Ambiente e Mudança do Clima";"Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis";"DEAL4B SOLUÇÕES EM TECNOLOGIA LTDA";"18.355.397/0001-08";"JAGUARIÚNA";"35231118355397000108550020002406541120682917";"36,29";"06/11/2023";"240654";"2";
"Ministério do Meio Ambiente e Mudança do Clima";"Instituto Chico Mendes de Conservação da Biodiversidade";"DEAL4B SOLUÇÕES EM TECNOLOGIA LTDA";"18.355.397/0001-08";"JAGUARIÚNA";"35241118355397000108550020003361571190421279";"38,19";"25/11/2024";"336157";"2";
"Ministério do Meio Ambiente e Mudança do Clima";"Instituto Chico Mendes de Conservação da Biodiversidade";"DEAL4B SOLUÇÕES EM TECNOLOGIA LTDA";"18.355.397/0001-08";"JAGUARIÚNA";"35241118355397000108550020003363411136556901";"38,19";"26/11/2024";"336341";"2";
"Ministério do Meio Ambiente e Mudança do Clima";"Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis";"DEAL4B SOLUÇÕES EM TECNOLOGIA LTDA";"18.355.397/0001-08";"JAGUARIÚNA";"35240318355397000108550020002705821123000074";"39,03";"19/03/2024";"270582";"2";
"Ministério do Meio Ambiente e Mudança do Clima";"Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis";"DEAL4B SOLUÇÕES EM TECNOLOGIA LTDA";"18.355.397/0001-08";"JAGUARIÚNA";"35240318355397000108550020002679121957133506";"39,61";"07/03/2024";"267912";"2";
"Ministério do Meio Ambiente e Mudança do Clima";"Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis";"DEAL4B SOLUÇÕES EM TECNOLOGIA LTDA";"18.355.397/0001-08";"JAGUARIÚNA";"35240318355397000108550020002706381163670566";"39,61";"19/03/2024";"270638";"2";
"Ministério da Justiça e Segurança Pública";"Polícia Federal";"DEAL4B SOLUÇÕES EM TECNOLOGIA LTDA";"18.355.397/0001-08";"JAGUARIÚNA";"35240418355397000108550020002767651105880972";"41,74";"13/04/2024";"276765";"2";
"Ministério da Justiça e Segurança Pública";"Polícia Federal";"DEAL4B SOLUÇÕES EM TECNOLOGIA LTDA";"18.355.397/0001-08";"JAGUARIÚNA";"35240418355397000108550020002767651105880972";"41,74";"13/04/2024";"276765";"2";
"Ministério do Meio Ambiente e Mudança do Clima";"Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis";"DEAL4B SOLUÇÕES EM TECNOLOGIA LTDA";"18.355.397/0001-08";"JAGUARIÚNA";"35250218355397000108550020003548851143723756";"55,14";"04/02/2025";"354885";"2";
"Ministério do Meio Ambiente e Mudança do Clima";"Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis";"DEAL4B SOLUÇÕES EM TECNOLOGIA LTDA";"18.355.397/0001-08";"JAGUARIÚNA";"35230618355397000108550020002154431123173145";"60,01";"29/06/2023";"215443";"2";
"Ministério do Meio Ambiente e Mudança do Clima";"Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis";"DEAL4B SOLUÇÕES EM TECNOLOGIA LTDA";"18.355.397/0001-08";"JAGUARIÚNA";"35240418355397000108550020002735261356065940";"62,61";"01/04/2024";"273526";"2";
"Ministério do Meio Ambiente e Mudança do Clima";"Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis";"DEAL4B SOLUÇÕES EM TECNOLOGIA LTDA";"18.355.397/0001-08";"JAGUARIÚNA";"35230918355397000108550020002330491420475333";"74,14";"25/09/2023";"233049";"2";
"Ministério do Meio Ambiente e Mudança do Clima";"Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis";"DEAL4B SOLUÇÕES EM TECNOLOGIA LTDA";"18.355.397/0001-08";"JAGUARIÚNA";"35231118355397000108550020002435931108907226";"77,18";"17/11/2023";"243593";"2";
"Ministério do Meio Ambiente e Mudança do Clima";"Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis";"DEAL4B SOLUÇÕES EM TECNOLOGIA LTDA";"18.355.397/0001-08";"JAGUARIÚNA";"35230118355397000108550020001823061136193958";"82,66";"24/01/2023";"182306";"2";
"Ministério do Meio Ambiente e Mudança do Clima";"Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis";"DEAL4B SOLUÇÕES EM TECNOLOGIA LTDA";"18.355.397/0001-08";"JAGUARIÚNA";"35230218355397000108550020001843691352436416";"82,66";"02/02/2023";"184369";"2";
"Ministério do Meio Ambiente e Mudança do Clima";"Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis";"DEAL4B SOLUÇÕES EM TECNOLOGIA LTDA";"18.355.397/0001-08";"JAGUARIÚNA";"35230618355397000108550020002133361427311492";"82,66";"19/06/2023";"213336";"2";
"Ministério do Meio Ambiente e Mudança do Clima";"Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis";"DEAL4B SOLUÇÕES EM TECNOLOGIA LTDA";"18.355.397/0001-08";"JAGUARIÚNA";"35230518355397000108550020002094251495095645";"82,66";"30/05/2023";"209425";"2";
"Ministério do Meio Ambiente e Mudança do Clima";"Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis";"DEAL4B SOLUÇÕES EM TECNOLOGIA LTDA";"18.355.397/0001-08";"JAGUARIÚNA";"35230618355397000108550020002134031409500100";"82,66";"20/06/2023";"213403";"2";
"Ministério do Meio Ambiente e Mudança do Clima";"Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis";"DEAL4B SOLUÇÕES EM TECNOLOGIA LTDA";"18.355.397/0001-08";"JAGUARIÚNA";"35230718355397000108550020002189141714528762";"82,66";"17/07/2023";"218914";"2";
"Ministério do Meio Ambiente e Mudança do Clima";"Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis";"DEAL4B SOLUÇÕES EM TECNOLOGIA LTDA";"18.355.397/0001-08";"JAGUARIÚNA";"35230618355397000108550020002110091100520742";"82,66";"06/06/2023";"211009";"2";
"Ministério do Meio Ambiente e Mudança do Clima";"Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis";"DEAL4B SOLUÇÕES EM TECNOLOGIA LTDA";"18.355.397/0001-08";"JAGUARIÚNA";"35230618355397000108550020002133401293642026";"82,66";"19/06/2023";"213340";"2";
"Ministério do Meio Ambiente e Mudança do Clima";"Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis";"DEAL4B SOLUÇÕES EM TECNOLOGIA LTDA";"18.355.397/0001-08";"JAGUARIÚNA";"35230618355397000108550020002139601282921560";"82,66";"21/06/2023";"213960";"2";
"Ministério do Meio Ambiente e Mudança do Clima";"Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis";"DEAL4B SOLUÇÕES EM TECNOLOGIA LTDA";"18.355.397/0001-08";"JAGUARIÚNA";"35230918355397000108550020002307241164552732";"82,66";"13/09/2023";"230724";"2";
"Ministério da Defesa";"Comando do Exército";"DEAL4B SOLUÇÕES EM TECNOLOGIA LTDA";"18.355.397/0001-08";"JAGUARIÚNA";"35230518355397000108550020002064761204416968";"84,12";"18/05/2023";"206476";"2";
"Ministério do Meio Ambiente e Mudança do Clima";"Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis";"DEAL4B SOLUÇÕES EM TECNOLOGIA LTDA";"18.355.397/0001-08";"JAGUARIÚNA";"35231218355397000108550020002496111480913772";"85,84";"13/12/2023";"249611";"2";
"Ministério do Meio Ambiente e Mudança do Clima";"Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis";"DEAL4B SOLUÇÕES EM TECNOLOGIA LTDA";"18.355.397/0001-08";"JAGUARIÚNA";"35230318355397000108550020001921951145825554";"98,98";"13/03/2023";"192195";"2";
"Ministério do Meio Ambiente e Mudança do Clima";"Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis";"DEAL4B SOLUÇÕES EM TECNOLOGIA LTDA";"18.355.397/0001-08";"JAGUARIÚNA";"35240218355397000108550020002629561227588586";"104,07";"14/02/2024";"262956";"2";
"Ministério dos Transportes";"Departamento Nacional de Infraestrutura de Transportes";"DEAL4B SOLUÇÕES EM TECNOLOGIA LTDA";"18.355.397/0001-08";"JAGUARIÚNA";"35230218355397000108550020001851941254389720";"107,34";"06/02/2023";"185194";"2";
"Sem informação";"Sem informação";"DEAL4B SOLUÇÕES EM TECNOLOGIA LTDA";"18.355.397/0001-08";"JAGUARIÚNA";"35231218355397000108550020002496151172230126";"112,65";"13/12/2023";"249615";"2";
"Ministério da Justiça e Segurança Pública";"Polícia Federal";"DEAL4B SOLUÇÕES EM TECNOLOGIA LTDA";"18.355.397/0001-08";"JAGUARIÚNA";"35241118355397000108550020003316241101056760";"114,70";"06/11/2024";"331624";"2";
"Ministério da Educação";"Instituto Federal do Espírito Santo";"DEAL4B SOLUÇÕES EM TECNOLOGIA LTDA";"18.355.397/0001-08";"JAGUARIÚNA";"35220318355397000108550020001190891172230122";"127,00";"09/03/2022";"119089";"2";
"Ministério da Justiça e Segurança Pública";"Ministério da Justiça e Segurança Pública - Unidades com vínculo direto";"DEAL4B SOLUÇÕES EM TECNOLOGIA LTDA";"18.355.397/0001-08";"JAGUARIÚNA";"35231118355397000108550020002466821155111012";"132,95";"30/11/2023";"246682";"2";
"Ministério do Meio Ambiente e Mudança do Clima";"Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis";"DEAL4B SOLUÇÕES EM TECNOLOGIA LTDA";"18.355.397/0001-08";"JAGUARIÚNA";"35230618355397000108550020002141931103027780";"141,21";"22/06/2023";"214193";"2";
"Sem informação";"Sem informação";"DEAL4B SOLUÇÕES EM TECNOLOGIA LTDA";"18.355.397/0001-08";"JAGUARIÚNA";"35231218355397000108550020002497611238309033";"141,44";"14/12/2023";"249761";"2";
"Ministério do Meio Ambiente e Mudança do Clima";"Instituto Chico Mendes de Conservação da Biodiversidade";"29 868 328 CARLOS ALEXANDRE MARTINS NICOLINO";"29.868.328/0001-06";"ARAPEI";"35230929868328000106550010000000031008120905";"145,00";"06/09/2023";"3";"1";
"Ministério do Meio Ambiente e Mudança do Clima";"Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis";"DEAL4B SOLUÇÕES EM TECNOLOGIA LTDA";"18.355.397/0001-08";"JAGUARIÚNA";"35230918355397000108550020002314441212710720";"145,90";"15/09/2023";"231444";"2";
"Ministério da Ciência, Tecnologia e Inovação";"Ministério da Ciência, Tecnologia e Inovação - Unidades com vínculo direto";"DEAL4B SOLUÇÕES EM TECNOLOGIA LTDA";"18.355.397/0001-08";"JAGUARIÚNA";"35211118355397000108550020000894381932063067";"162,00";"03/11/2021";"89438";"2";
"Ministério da Saúde";"Fundação Oswaldo Cruz";"DEAL4B SOLUÇÕES EM TECNOLOGIA LTDA";"18.355.397/0001-08";"JAGUARIÚNA";"35240318355397000108550020002703761194346501";"164,80";"18/03/2024";"270376";"2";
"Ministério da Agricultura e Pecuária";"Ministério da Agricultura e Pecuária - Unidades com vínculo direto";"BARROS E CAMPELO LTDA";"74.029.984/0001-70";"TERESINA";"22241274029984000170550010176254791849459597";"175,00";"18/12/2024";"17625479";"1";
"Sem informação";"Sem informação";"DHIDRONE LTDA";"36.424.164/0001-93";"PORTO ALEGRE";"43240987958674000181558900567054111068556510";"200,00";"10/09/2024";"56705411";"890";
"Ministério da Educação";"Universidade Tecnológica Federal do Paraná";"HELEN PAULA CAITANA DIAS EIRELI - EPP";"27.448.432/0001-16";"BELO HORIZONTE";"31240827448432000116550010000129871000354193";"212,48";"06/08/2024";"12987";"1";
"Ministério dos Transportes";"Departamento Nacional de Infraestrutura de Transportes";"M2Z SOLUÇÕES INTEGRADAS LTDA";"30.870.355/0001-00";"RIO DE JANEIRO";"33211230870355000100550020000001691565747437";"219,41";"20/12/2021";"169";"2";
"Sem informação";"Sem informação";"DEAL4B SOLUÇÕES EM TECNOLOGIA LTDA";"18.355.397/0001-08";"JAGUARIÚNA";"35230918355397000108550020002335371134902116";"247,29";"26/09/2023";"233537";"2";
"Ministério do Meio Ambiente e Mudança do Clima";"Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis";"DEAL4B SOLUÇÕES EM TECNOLOGIA LTDA";"18.355.397/0001-08";"JAGUARIÚNA";"35230618355397000108550020002124491117466780";"254,46";"14/06/2023";"212449";"2";
"Ministério dos Transportes";"Departamento Nacional de Infraestrutura de Transportes";"FADINI SOLUCOES LTDA";"48.658.655/0001-88";"VILA VELHA";"32241048658655000188550010000006571109131235";"268,00";"08/10/2024";"657";"1";
"Ministério da Educação";"Universidade Federal de Itajubá";"DEAL4B SOLUÇÕES EM TECNOLOGIA LTDA";"18.355.397/0001-08";"JAGUARIÚNA";"35221018355397000108550020001639761182570817";"324,00";"14/10/2022";"163976";"2";
"Ministério do Meio Ambiente e Mudança do Clima";"Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis";"DEAL4B SOLUÇÕES EM TECNOLOGIA LTDA";"18.355.397/0001-08";"JAGUARIÚNA";"35241218355397000108550020003414181438031951";"346,95";"16/12/2024";"341418";"2";
"Ministério da Defesa";"Comando do Exército";"DEAL4B SOLUÇÕES EM TECNOLOGIA LTDA";"18.355.397/0001-08";"JAGUARIÚNA";"35230418355397000108550020002009951183642850";"352,16";"26/04/2023";"200995";"2";
"Ministério da Educação";"Universidade Federal da Fronteira Sul";"FHS LIVROS LTDA";"45.546.237/0001-00";"BELO HORIZONTE";"31240845546237000100550010000006341000016124";"373,07";"12/08/2024";"634";"1";
"Ministério da Justiça e Segurança Pública";"Polícia Federal";"DEAL4B SOLUÇÕES EM TECNOLOGIA LTDA";"18.355.397/0001-08";"JAGUARIÚNA";"35240918355397000108550020003165771835747075";"389,22";"13/09/2024";"316577";"2";
"Ministério da Defesa";"Comando do Exército";"47.176.323 JOAREZ IKENO CAMPOS JUNIOR";"47.176.323/0001-02";"GUAJARA-MIRIM";"11231147176323000102550010000000031000002157";"390,00";"01/11/2023";"3";"1";
"Ministério da Defesa";"Comando do Exército";"47.176.323 JOAREZ IKENO CAMPOS JUNIOR";"47.176.323/0001-02";"GUAJARA-MIRIM";"11231147176323000102550010000000041000002162";"390,00";"01/11/2023";"4";"1";
"Ministério da Educação";"Universidade Federal de Itajubá";"THIAGO DA CRUZ CLEMENTE - ME";"31.329.483/0001-04";"JANDIRA";"35211231329483000104550010000000541000000703";"398,00";"08/12/2021";"54";"1";
"Ministério do Meio Ambiente e Mudança do Clima";"Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis";"DEAL4B SOLUÇÕES EM TECNOLOGIA LTDA";"18.355.397/0001-08";"JAGUARIÚNA";"35240318355397000108550020002728261186858994";"445,00";"28/03/2024";"272826";"2";
"Sem informação";"Sem informação";"49572638 MAIARA SOUZA DA SILVA";"49.572.638/0001-96";"PORTO SEGURO";"29250249572638000196550010000000031219781147";"448,00";"07/02/2025";"3";"1";
"Sem informação";"Sem informação";"FUNDACAO UNIVERSIDADE DE BRASILIA";"00.038.174/0019-72";"BRASILIA";"53240800038174001972550010000064561001656417";"450,00";"06/08/2024";"6456";"1";
"Ministério dos Povos Indígenas";"Fundação Nacional do Índio";"DEAL4B SOLUÇÕES EM TECNOLOGIA LTDA";"18.355.397/0001-08";"JAGUARIÚNA";"35240518355397000108550020002832371104981998";"480,00";"09/05/2024";"283237";"2";
"Ministério do Meio Ambiente e Mudança do Clima";"Instituto Chico Mendes de Conservação da Biodiversidade";"DEAL4B SOLUÇÕES EM TECNOLOGIA LTDA";"18.355.397/0001-08";"JAGUARIÚNA";"35241218355397000108550020003400821516536550";"500,00";"09/12/2024";"340082";"2";
"Ministério da Justiça e Segurança Pública";"Polícia Federal";"DEAL4B SOLUÇÕES EM TECNOLOGIA LTDA";"18.355.397/0001-08";"JAGUARIÚNA";"35240118355397000108550020002538111168840911";"518,29";"03/01/2024";"253811";"2";
"Ministério da Educação";"Instituto Federal da Paraíba";"A2 ROBOTICS COMERCIO IMPORTACAO E EXPORTACAO LTDA";"45.291.154/0001-18";"SAO PAULO";"35240945291154000118550010000016251685023296";"542,70";"06/09/2024";"1625";"1";
"Ministério da Defesa";"Comando do Exército";"CP DE MELO COMERCIAL";"51.069.521/0001-36";"GUARAREMA";"35231251069521000136550010000001081730562623";"551,11";"20/12/2023";"108";"1";
"Ministério do Meio Ambiente e Mudança do Clima";"Instituto Chico Mendes de Conservação da Biodiversidade";"41.434.038 ANDRE SANTIAGO DA COSTA";"41.434.038/0001-50";"NOVA IGUAÇU";"33230742498675000152558900074167081772828385";"586,00";"21/07/2023";"7416708";"890";
"Ministério da Educação";"Instituto Federal de Minas Gerais";"DISTRIBUIDORA BCR COMERCIAL LTDA";"35.388.932/0001-38";"BELO HORIZONTE";"31211135388932000138550010000000901004890937";"599,00";"23/11/2021";"90";"1";
"Ministério da Educação";"Instituto Federal de Rondônia";"WALDER C. TEIXEIRA ME";"25.926.676/0001-31";"AMERICANA";"31221125926676000131550010000074951349720990";"646,36";"08/11/2022";"7495";"1";
"Sem informação";"Sem informação";"MULTIDRONES - PRODUCOES AEREAS, COMERCIO E REPRESENTACAO COM";"18.449.119/0001-01";"BRASILIA";"53220718449119000101550010000016661175656034";"657,00";"07/07/2022";"1666";"1";
"Ministério do Meio Ambiente e Mudança do Clima";"Instituto Chico Mendes de Conservação da Biodiversidade";"FUNPRO COMERCIO E IMPORTACAO LTDA";"21.973.510/0001-15";"CRICIUMA";"42230921973510000115550010001174771418014914";"674,90";"27/09/2023";"117477";"1";
"Ministério do Meio Ambiente e Mudança do Clima";"Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis";"DEAL4B SOLUÇÕES EM TECNOLOGIA LTDA";"18.355.397/0001-08";"JAGUARIÚNA";"35231218355397000108550020002522791111051318";"678,54";"27/12/2023";"252279";"2";
"Ministério da Justiça e Segurança Pública";"Polícia Federal";"FBTC COMERCIO DISTRIBUICAO E IMPORTACAO LTDA";"33.119.180/0001-84";"SAQUAREMA";"33220733119180000184550010000051551321648145";"689,99";"11/07/2022";"5155";"1";
"CODIGO VAGO";"CODIGO VAGO - Unidades com vínculo direto";"MULTIDRONES - PRODUCOES AEREAS, COMERCIO E REPRESENTACAO COM";"18.449.119/0001-01";"BRASILIA";"53211218449119000101550010000015261048506531";"693,00";"20/12/2021";"1526";"1";
"Ministério da Educação";"Universidade Tecnológica Federal do Paraná";"NWSHOP COMERCIO LTDA";"30.282.962/0001-41";"CURITIBA";"41220830282962000141550010000057361103864851";"720,02";"16/08/2022";"5736";"1";
"Sem informação";"Sem informação";"MULTIDRONES - PRODUCOES AEREAS, COMERCIO E REPRESENTACAO COM";"18.449.119/0001-01";"BRASILIA";"53221218449119000101550010000017601232017305";"739,00";"14/12/2022";"1760";"1";
"Sem informação";"Sem informação";"MULTIDRONES - PRODUCOES AEREAS, COMERCIO E REPRESENTACAO COM";"18.449.119/0001-01";"BRASILIA";"53221118449119000101550010000017561222982907";"739,00";"22/11/2022";"1756";"1";
"Ministério da Justiça e Segurança Pública";"Polícia Federal";"FUNPRO COMERCIO E IMPORTACAO LTDA";"21.973.510/0001-15";"CRICIUMA";"42230321973510000115550010001087191209945313";"741,92";"06/03/2023";"108719";"1";
"Ministério da Educação";"Universidade Federal da Bahia";"M2Z SOLUÇÕES INTEGRADAS LTDA";"30.870.355/0001-00";"RIO DE JANEIRO";"33231030870355000100550020000005151380772203";"779,80";"02/10/2023";"515";"2";
"Ministério da Defesa";"Comando do Exército";"43.084.056 LIZANDRA RIBEIRO PINTO";"43.084.056/0001-84";"SALVADOR";"29241013937073000156558900610948241881647822";"780,00";"31/10/2024";"61094824";"890";
"Ministério da Defesa";"Comando do Exército";"DEAL4B SOLUÇÕES EM TECNOLOGIA LTDA";"18.355.397/0001-08";"JAGUARIÚNA";"35230718355397000108550020002169731153502940";"785,88";"06/07/2023";"216973";"2";
"Ministério da Educação";"Instituto Federal do Ceará";"VLF COMERCIO ATACADISTA E SERVIÇOS LTDA";"52.232.305/0001-22";"VILA VELHA";"32240252232305000122550010000000171254158408";"795,00";"14/02/2024";"17";"1";
"Ministério do Meio Ambiente e Mudança do Clima";"Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis";"DEAL4B SOLUÇÕES EM TECNOLOGIA LTDA";"18.355.397/0001-08";"JAGUARIÚNA";"35230718355397000108550020002212261203615141";"856,00";"27/07/2023";"221226";"2";
"Ministério da Educação";"Instituto Federal do Paraná";"DIAS DISTRIBUIDORA DE LIVROS LTDA";"07.341.940/0001-93";"BELO HORIZONTE";"31221007341940000193550010000168051000441745";"879,65";"05/10/2022";"16805";"1";
"Ministério da Defesa";"Comando do Exército";"ALC MORAES COMERCIAL LTDA";"46.339.373/0001-92";"MOGI MIRIM";"35240546339373000192550020000005801102030409";"885,80";"15/05/2024";"580";"2";
"Ministério da Defesa";"Comando do Exército";"ALPHA CENTAURI COMERCIO ATACADISTA DE EQUIPAMENTOS E COMPONE";"34.148.330/0001-40";"SANTA CRUZ DO CAPIBARIBE";"26221034148330000140550010000001781292422982";"900,00";"21/10/2022";"178";"1";
"Ministério da Defesa";"Comando do Exército";"INACIO APRIGIO DE OLIVEIRA";"36.239.722/0001-40";"MARACANAU";"23241036239722000140550010000003211000103202";"900,00";"03/10/2024";"321";"1";
